video,user,mae,rmse
14,4,10.955068588256836,33.9129753112793
4,48,12.341938972473145,19.980403900146484
14,45,12.19542407989502,37.004268646240234
8,47,10.76034927368164,16.6571044921875
24,3,13.761653900146484,24.45343780517578
24,48,11.863500595092773,20.88005256652832
14,35,9.862516403198242,19.575761795043945
8,23,15.650641441345215,36.3018684387207
18,47,8.09510326385498,13.231818199157715
4,49,22.067913055419922,52.6745491027832
4,59,3.936126708984375,7.343253135681152
25,84,19.75946807861328,67.4407958984375
24,53,19.894922256469727,35.83206558227539
8,30,10.107075691223145,21.49673843383789
24,49,13.162471771240234,27.34212875366211
4,83,19.590932846069336,53.83043670654297
24,21,5.697119235992432,10.455792427062988
24,15,10.192059516906738,20.185882568359375
24,83,11.373032569885254,29.66517448425293
18,55,15.276668548583984,26.915348052978516
25,44,8.319586753845215,14.760842323303223
24,26,13.236268043518066,25.693212509155273
4,4,19.3831844329834,59.597373962402344
25,4,21.484525680541992,85.79229736328125
14,15,4.976174354553223,9.716279983520508
24,23,11.171314239501953,22.570173263549805
18,44,9.678439140319824,14.841292381286621
18,84,17.688453674316406,30.19679832458496
8,15,7.770135879516602,14.26361083984375
25,3,32.81565856933594,68.31328582763672
25,26,21.921995162963867,83.08428192138672
14,60,4.9900007247924805,9.254286766052246
24,30,4.203279495239258,6.771498680114746
8,49,27.505191802978516,70.55099487304688
18,30,4.389430999755859,7.448110580444336
18,45,11.226609230041504,18.99295997619629
25,53,17.424335479736328,31.433752059936523
25,60,16.799638748168945,58.92864990234375
14,47,7.0380964279174805,8.989731788635254
8,21,2.7512874603271484,4.389488697052002
25,21,7.379344463348389,20.03451156616211
8,45,10.136490821838379,17.348007202148438
14,55,5.594486713409424,15.574712753295898
18,4,6.090935707092285,9.347853660583496
25,55,16.690597534179688,45.90012741088867
24,4,6.092090606689453,17.587295532226562
4,47,10.716153144836426,34.36808776855469
24,59,8.722660064697266,14.949060440063477
4,30,1.7549370527267456,2.6787917613983154
18,60,7.599742889404297,17.34477424621582
8,48,12.523883819580078,35.87240982055664
8,26,9.479604721069336,15.15185260772705
24,44,6.297478199005127,10.418291091918945
14,22,6.441039562225342,10.481229782104492
25,59,21.20897674560547,56.757408142089844
25,49,28.818771362304688,62.60519790649414
4,45,7.9027228355407715,17.86789894104004
18,7,22.06729507446289,35.81021499633789
24,55,8.289822578430176,15.562853813171387
18,15,6.485257148742676,9.954852104187012
18,22,5.489924907684326,10.62909984588623
8,3,16.449546813964844,40.0786018371582
24,84,12.114286422729492,19.540414810180664
8,4,20.749343872070312,40.100738525390625
14,84,4.789345741271973,9.86403751373291
4,44,11.342659950256348,19.555391311645508
14,53,9.552434921264648,16.153444290161133
4,3,8.007543563842773,12.127589225769043
25,47,23.421432495117188,66.86885833740234
4,23,29.28340721130371,74.59489440917969
8,44,4.861622333526611,8.271743774414062
14,49,7.799068927764893,11.259042739868164
4,22,5.183428764343262,10.864771842956543
4,26,6.203773021697998,22.350431442260742
25,83,36.35307312011719,97.50113677978516
18,49,17.742525100708008,47.35151290893555
25,15,10.78610610961914,18.954805374145508
8,59,6.049008369445801,8.361644744873047
14,7,9.599725723266602,14.522581100463867
24,60,7.189206600189209,13.047684669494629
18,26,24.886350631713867,46.32345962524414
24,35,8.324230194091797,13.339997291564941
4,60,8.274044036865234,15.030216217041016
24,47,15.868642807006836,55.02602005004883
4,7,8.97667407989502,14.52501106262207
14,59,10.114127159118652,16.766042709350586
18,3,31.8568058013916,63.52430725097656
24,7,18.240177154541016,29.81178092956543
14,23,31.332237243652344,80.47088623046875
14,44,9.204689025878906,15.139081954956055
18,83,17.975522994995117,37.59537124633789
14,48,6.279150009155273,10.178654670715332
25,22,14.343656539916992,53.6295166015625
14,30,3.7979214191436768,6.2767333984375
25,23,24.448749542236328,67.49208068847656
8,60,3.2170212268829346,5.422382354736328
8,55,4.699738502502441,15.684697151184082
8,22,2.2768492698669434,3.068704128265381
18,53,26.79091453552246,46.03752136230469
8,7,15.47921085357666,26.15271759033203
25,7,32.175148010253906,81.52220916748047
8,83,13.117055892944336,22.571243286132812
24,45,8.341046333312988,14.60400676727295
24,22,4.267512798309326,8.282840728759766
8,35,15.066285133361816,24.614463806152344
4,53,13.420024871826172,19.97834014892578
25,48,20.22545623779297,54.00946807861328
25,35,18.37571907043457,40.475948333740234
4,21,2.4461820125579834,4.349832057952881
4,15,8.729422569274902,33.267822265625
18,48,14.142502784729004,26.371488571166992
8,53,21.731447219848633,40.9552116394043
8,84,13.356804847717285,24.709760665893555
4,84,15.324962615966797,30.868755340576172
14,3,12.968375205993652,20.199670791625977
25,45,20.60715675354004,58.094844818115234
14,26,9.410128593444824,20.78531265258789
14,83,14.096588134765625,27.257186889648438
4,35,7.2483673095703125,13.300688743591309
25,30,3.542675495147705,5.029688358306885
18,59,10.823933601379395,16.385648727416992
14,21,5.14361047744751,10.341649055480957
18,23,18.218883514404297,27.27364158630371
18,21,10.91365909576416,19.149673461914062
4,55,19.03105926513672,55.502174377441406
18,35,16.902700424194336,31.565410614013672
-1,-1,12.796860694885254,35.70561218261719
